Port_ID,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Score
3986814617275053313,0.871628342633023,16337.46188064,1.2885519825388734,2.3819474699994316,78.22172200337648,2780,3554,16.141366585490225
3826087012661391104,12.17851745780603,532.65697373,0.7917839866811397,12.925980130000028,58.333333333333336,63,108,15.483010832793418
3956048468100538880,1.1145612443640718,1373.56489,1.3223516055168498,0.0,71.42857142857143,20,28,15.12824426511497
3891020560590657281,1.7434069462039081,2856.30056379,1.1283990693781847,0.0,64.75972540045767,283,437,13.987827579386552
3768170840939476993,8.779089104108492,243.66889897,0.8345165970973956,0.0,42.857142857142854,6,14,12.333419192201188
4039279455324236544,1.0221011564380975,1038.8074192600002,1.1010723088609398,0.0,55.35168195718655,181,327,11.80949854667083
4017110277719148289,0.4712308465925302,2899.93302141,0.7966806613730175,0.0,56.74603174603175,143,252,11.776702886255267
3886752488982104320,0.8994404782536423,7195.178324640001,0.5839185520563878,38.20810000000006,74.5396317053643,931,1249,11.622068097991228
4017323550554338817,1.9572861271360744,3134.7351025000003,0.5929444148027095,0.0,50.091743119266056,273,545,10.979146399148455
4035430878731345664,1.9099021490834953,2493.75041995,0.947716283691882,0.0,48.31460674157304,43,89,10.71119709305557
4039129759104249600,3.162479424560003,1264.28919972,0.8865812842036265,0.0,44.3609022556391,59,133,10.403146606212909
3998659472131949824,0.30740181541181216,1449.32593976,0.5589164399583494,0.0,48.97959183673469,72,147,10.086554025499169
4029749871687083265,3.1705408328920717,3662.13654822,0.7192341264765469,0.0,42.873831775700936,367,856,10.05875292623998
3944658614777849089,2.0835728712731334,2074.4499799600003,0.8012537160069145,0.0,44.44444444444444,20,45,9.962694152200218
4030565764341697025,0.8709829228719865,2789.8782899599996,0.7628110392311683,4.030795650000002,48.57142857142857,51,105,9.88844263020386
3977234346014419201,4.102463607193359,2427.2928308600003,0.80179004394682,0.0,39.75903614457831,33,83,9.833329684977052
4036548677626662656,0.5616856610336963,3296.87667987,0.7341606244084796,0.0,46.25850340136054,68,147,9.696623132008131
4034786679304751616,3.0863578746042677,2521.07586938,0.7841524300230257,0.0,38.31775700934579,123,321,9.133340280717773
